CPU 1 is empty
CPU 2 is empty
cpus=4
             ssh-24099 [003] 76612.965626: funcgraph_exit:         0.221 us   |                        }
             ssh-24099 [003] 76612.965626: funcgraph_exit:       + 10.808 us  |                      }
             ssh-24099 [003] 76612.965626: funcgraph_exit:       + 14.820 us  |                    }
             ssh-24099 [003] 76612.965627: funcgraph_entry:                   |                    ttwu_do_wakeup.isra.4() {
             ssh-24099 [003] 76612.965627: funcgraph_entry:                   |                      check_preempt_curr() {
             ssh-24099 [003] 76612.965627: funcgraph_entry:        0.281 us   |                        resched_curr();
             ssh-24099 [003] 76612.965628: funcgraph_exit:         0.810 us   |                      }
             ssh-24099 [003] 76612.965628: funcgraph_exit:         1.875 us   |                    }
             ssh-24099 [003] 76612.965629: funcgraph_exit:       + 17.308 us  |                  }
             ssh-24099 [003] 76612.965629: funcgraph_entry:                   |                  _raw_spin_unlock() {
             ssh-24099 [003] 76612.965629: funcgraph_entry:        0.215 us   |                    preempt_count_sub();
             ssh-24099 [003] 76612.965629: funcgraph_exit:         0.633 us   |                  }
             ssh-24099 [003] 76612.965630: funcgraph_entry:        0.219 us   |                  ttwu_stat();
             ssh-24099 [003] 76612.965630: funcgraph_entry:                   |                  _raw_spin_unlock_irqrestore() {
             ssh-24099 [003] 76612.965630: funcgraph_entry:        0.217 us   |                    preempt_count_sub();
             ssh-24099 [003] 76612.965631: funcgraph_exit:         0.638 us   |                  }
             ssh-24099 [003] 76612.965631: funcgraph_exit:       + 27.226 us  |                }
             ssh-24099 [003] 76612.965631: funcgraph_exit:       + 27.653 us  |              }
             ssh-24099 [003] 76612.965631: funcgraph_exit:       + 28.178 us  |            }
             ssh-24099 [003] 76612.965632: funcgraph_entry:                   |            autoremove_wake_function() {
             ssh-24099 [003] 76612.965632: funcgraph_entry:                   |              default_wake_function() {
             ssh-24099 [003] 76612.965632: funcgraph_entry:                   |                try_to_wake_up() {
             ssh-24099 [003] 76612.965632: funcgraph_entry:                   |                  __lock_text_start() {
             ssh-24099 [003] 76612.965633: funcgraph_entry:        0.212 us   |                    preempt_count_add();
             ssh-24099 [003] 76612.965633: funcgraph_exit:         0.773 us   |                  }
             ssh-24099 [003] 76612.965633: funcgraph_entry:                   |                  select_task_rq_fair() {
             ssh-24099 [003] 76612.965634: funcgraph_entry:        0.220 us   |                    __rcu_read_lock();
             ssh-24099 [003] 76612.965634: funcgraph_entry:        0.221 us   |                    available_idle_cpu();
             ssh-24099 [003] 76612.965634: funcgraph_entry:        0.418 us   |                    update_cfs_rq_h_load();
             ssh-24099 [003] 76612.965635: funcgraph_entry:                   |                    select_idle_sibling() {
             ssh-24099 [003] 76612.965635: funcgraph_entry:        0.226 us   |                      available_idle_cpu();
             ssh-24099 [003] 76612.965636: funcgraph_entry:        0.215 us   |                      available_idle_cpu();
             ssh-24099 [003] 76612.965637: funcgraph_entry:        0.244 us   |                      available_idle_cpu();
             ssh-24099 [003] 76612.965637: funcgraph_entry:        0.226 us   |                      available_idle_cpu();
             ssh-24099 [003] 76612.965638: funcgraph_entry:        0.232 us   |                      available_idle_cpu();
             ssh-24099 [003] 76612.965638: funcgraph_entry:        0.196 us   |                      available_idle_cpu();
             ssh-24099 [003] 76612.965639: funcgraph_entry:        0.230 us   |                      available_idle_cpu();
             ssh-24099 [003] 76612.965639: funcgraph_exit:         3.867 us   |                    }
             ssh-24099 [003] 76612.965639: funcgraph_entry:        0.227 us   |                    __rcu_read_unlock();
             ssh-24099 [003] 76612.965640: funcgraph_exit:         6.293 us   |                  }
             ssh-24099 [003] 76612.965640: funcgraph_entry:                   |                  set_task_cpu() {
             ssh-24099 [003] 76612.965640: funcgraph_entry:                   |                    migrate_task_rq_fair() {
             ssh-24099 [003] 76612.965641: funcgraph_entry:                   |                      remove_entity_load_avg() {
             ssh-24099 [003] 76612.965641: funcgraph_entry:        0.266 us   |                        __update_load_avg_blocked_se();
             ssh-24099 [003] 76612.965641: funcgraph_entry:                   |                        __lock_text_start() {
             ssh-24099 [003] 76612.965642: funcgraph_entry:        0.210 us   |                          preempt_count_add();
             ssh-24099 [003] 76612.965642: funcgraph_exit:         0.620 us   |                        }
             ssh-24099 [003] 76612.965642: funcgraph_entry:                   |                        _raw_spin_unlock_irqrestore() {
             ssh-24099 [003] 76612.965642: funcgraph_entry:        0.218 us   |                          preempt_count_sub();
             ssh-24099 [003] 76612.965643: funcgraph_exit:         0.628 us   |                        }
             ssh-24099 [003] 76612.965643: funcgraph_exit:         2.368 us   |                      }
             ssh-24099 [003] 76612.965643: funcgraph_exit:         2.863 us   |                    }
             ssh-24099 [003] 76612.965643: funcgraph_entry:        0.262 us   |                    set_task_rq_fair();
             ssh-24099 [003] 76612.965644: funcgraph_exit:         3.853 us   |                  }
             ssh-24099 [003] 76612.965644: funcgraph_entry:                   |                  _raw_spin_lock() {
             ssh-24099 [003] 76612.965644: funcgraph_entry:        0.219 us   |                    preempt_count_add();
             ssh-24099 [003] 76612.965645: funcgraph_exit:         0.615 us   |                  }
             ssh-24099 [003] 76612.965645: funcgraph_entry:        0.288 us   |                  update_rq_clock();
             ssh-24099 [003] 76612.965645: funcgraph_entry:                   |                  ttwu_do_activate() {
             ssh-24099 [003] 76612.965645: funcgraph_entry:                   |                    activate_task() {
             ssh-24099 [003] 76612.965646: funcgraph_entry:                   |                      psi_task_change() {
             ssh-24099 [003] 76612.965646: funcgraph_entry:        0.434 us   |                        record_times();
             ssh-24099 [003] 76612.965647: funcgraph_entry:        0.294 us   |                        record_times();
             ssh-24099 [003] 76612.965647: funcgraph_entry:        0.261 us   |                        record_times();
             ssh-24099 [003] 76612.965648: funcgraph_entry:        0.213 us   |                        record_times();
             ssh-24099 [003] 76612.965648: funcgraph_exit:         2.299 us   |                      }
             ssh-24099 [003] 76612.965648: funcgraph_entry:                   |                      enqueue_task_fair() {
             ssh-24099 [003] 76612.965648: funcgraph_entry:                   |                        enqueue_entity() {
             ssh-24099 [003] 76612.965649: funcgraph_entry:        0.229 us   |                          update_curr();
             ssh-24099 [003] 76612.965649: funcgraph_entry:        0.265 us   |                          __update_load_avg_cfs_rq();
             ssh-24099 [003] 76612.965650: funcgraph_entry:        0.238 us   |                          attach_entity_load_avg();
             ssh-24099 [003] 76612.965650: funcgraph_entry:        0.220 us   |                          update_cfs_group();
             ssh-24099 [003] 76612.965650: funcgraph_entry:        0.228 us   |                          account_entity_enqueue();
             ssh-24099 [003] 76612.965651: funcgraph_entry:        0.209 us   |                          place_entity();
             ssh-24099 [003] 76612.965651: funcgraph_entry:        0.216 us   |                          __enqueue_entity();
             ssh-24099 [003] 76612.965652: funcgraph_exit:         3.218 us   |                        }
             ssh-24099 [003] 76612.965652: funcgraph_entry:                   |                        enqueue_entity() {
             ssh-24099 [003] 76612.965652: funcgraph_entry:        0.216 us   |                          update_curr();
             ssh-24099 [003] 76612.965653: funcgraph_entry:                   |                          __update_load_avg_se() {
             ssh-24099 [003] 76612.965653: funcgraph_entry:                   |                            __accumulate_pelt_segments() {
             ssh-24099 [003] 76622.720607: funcgraph_exit:         0.440 us   |                    }
             ssh-24099 [003] 76622.720610: funcgraph_entry:                   |                    smp_irq_work_interrupt() {
             ssh-24099 [003] 76622.720611: funcgraph_entry:                   |                      irq_enter() {
             ssh-24099 [003] 76622.720611: funcgraph_entry:        0.369 us   |                        rcu_irq_enter();
             ssh-24099 [003] 76622.720612: funcgraph_entry:        0.571 us   |                        irqtime_account_irq();
             ssh-24099 [003] 76622.720613: funcgraph_entry:        0.343 us   |                        preempt_count_add();
             ssh-24099 [003] 76622.720613: funcgraph_exit:         2.801 us   |                      }
             ssh-24099 [003] 76622.720614: funcgraph_entry:                   |                      __wake_up() {
             ssh-24099 [003] 76622.720615: funcgraph_entry:                   |                        __wake_up_common_lock() {
             ssh-24099 [003] 76622.720615: funcgraph_entry:                   |                          __lock_text_start() {
             ssh-24099 [003] 76622.720615: funcgraph_entry:        0.341 us   |                            preempt_count_add();
             ssh-24099 [003] 76622.720616: funcgraph_exit:         0.958 us   |                          }
             ssh-24099 [003] 76622.720616: funcgraph_entry:        0.355 us   |                          __wake_up_common();
             ssh-24099 [003] 76622.720617: funcgraph_entry:                   |                          _raw_spin_unlock_irqrestore() {
             ssh-24099 [003] 76622.720617: funcgraph_entry:        0.317 us   |                            preempt_count_sub();
             ssh-24099 [003] 76622.720618: funcgraph_exit:         0.939 us   |                          }
             ssh-24099 [003] 76622.720618: funcgraph_exit:         3.450 us   |                        }
             ssh-24099 [003] 76622.720618: funcgraph_exit:         4.169 us   |                      }
             ssh-24099 [003] 76622.720619: funcgraph_entry:                   |                      __wake_up() {
             ssh-24099 [003] 76622.720619: funcgraph_entry:                   |                        __wake_up_common_lock() {
             ssh-24099 [003] 76622.720620: funcgraph_entry:                   |                          __lock_text_start() {
             ssh-24099 [003] 76622.720620: funcgraph_entry:        0.313 us   |                            preempt_count_add();
             ssh-24099 [003] 76622.720620: funcgraph_exit:         0.925 us   |                          }
             ssh-24099 [003] 76622.720621: funcgraph_entry:                   |                          __wake_up_common() {
             ssh-24099 [003] 76622.720621: funcgraph_entry:                   |                            autoremove_wake_function() {
             ssh-24099 [003] 76622.720622: funcgraph_entry:                   |                              default_wake_function() {
             ssh-24099 [003] 76622.720622: funcgraph_entry:                   |                                try_to_wake_up() {
             ssh-24099 [003] 76622.720623: funcgraph_entry:                   |                                  __lock_text_start() {
             ssh-24099 [003] 76622.720623: funcgraph_entry:        0.318 us   |                                    preempt_count_add();
             ssh-24099 [003] 76622.720624: funcgraph_exit:         1.211 us   |                                  }
             ssh-24099 [003] 76622.720625: funcgraph_entry:                   |                                  select_task_rq_fair() {
             ssh-24099 [003] 76622.720626: funcgraph_entry:        0.336 us   |                                    __rcu_read_lock();
             ssh-24099 [003] 76622.720627: funcgraph_entry:        0.766 us   |                                    available_idle_cpu();
             ssh-24099 [003] 76622.720628: funcgraph_entry:        1.248 us   |                                    update_cfs_rq_h_load();
             ssh-24099 [003] 76622.720630: funcgraph_entry:                   |                                    select_idle_sibling() {
             ssh-24099 [003] 76622.720630: funcgraph_entry:        0.515 us   |                                      available_idle_cpu();
             ssh-24099 [003] 76622.720631: funcgraph_exit:         1.155 us   |                                    }
             ssh-24099 [003] 76622.720631: funcgraph_entry:        0.362 us   |                                    __rcu_read_unlock();
             ssh-24099 [003] 76622.720632: funcgraph_exit:         6.685 us   |                                  }
             ssh-24099 [003] 76622.720632: funcgraph_entry:                   |                                  _raw_spin_lock() {
             ssh-24099 [003] 76622.720632: funcgraph_entry:        0.332 us   |                                    preempt_count_add();
             ssh-24099 [003] 76622.720633: funcgraph_exit:         0.981 us   |                                  }
             ssh-24099 [003] 76622.720633: funcgraph_entry:        0.571 us   |                                  update_rq_clock();
