CPU 2 is empty
cpus=4
             ssh-3222  [003]  4278.011848: funcgraph_entry:                   |  ksys_ioctl() {
             ssh-3222  [003]  4278.011852: funcgraph_entry:                   |    smp_irq_work_interrupt() {
             ssh-3222  [003]  4278.011853: funcgraph_entry:                   |      irq_enter() {
             ssh-3222  [003]  4278.011853: funcgraph_entry:        0.735 us   |        rcu_irq_enter();
             ssh-3222  [003]  4278.011855: funcgraph_entry:        0.476 us   |        irqtime_account_irq();
             ssh-3222  [003]  4278.011855: funcgraph_entry:        0.439 us   |        preempt_count_add();
             ssh-3222  [003]  4278.011856: funcgraph_exit:         3.311 us   |      }
             ssh-3222  [003]  4278.011857: funcgraph_entry:                   |      __wake_up() {
             ssh-3222  [003]  4278.011858: funcgraph_entry:                   |        __wake_up_common_lock() {
             ssh-3222  [003]  4278.011858: funcgraph_entry:                   |          __lock_text_start() {
             ssh-3222  [003]  4278.011858: funcgraph_entry:        0.429 us   |            preempt_count_add();
             ssh-3222  [003]  4278.011859: funcgraph_exit:         1.173 us   |          }
             ssh-3222  [003]  4278.011859: funcgraph_entry:        0.453 us   |          __wake_up_common();
             ssh-3222  [003]  4278.011860: funcgraph_entry:                   |          _raw_spin_unlock_irqrestore() {
             ssh-3222  [003]  4278.011861: funcgraph_entry:        0.379 us   |            preempt_count_sub();
             ssh-3222  [003]  4278.011861: funcgraph_exit:         1.094 us   |          }
             ssh-3222  [003]  4278.011862: funcgraph_exit:         4.259 us   |        }
             ssh-3222  [003]  4278.011862: funcgraph_exit:         5.064 us   |      }
             ssh-3222  [003]  4278.011862: funcgraph_entry:                   |      __wake_up() {
             ssh-3222  [003]  4278.011863: funcgraph_entry:                   |        __wake_up_common_lock() {
             ssh-3222  [003]  4278.011863: funcgraph_entry:                   |          __lock_text_start() {
             ssh-3222  [003]  4278.011864: funcgraph_entry:        0.390 us   |            preempt_count_add();
             ssh-3222  [003]  4278.011864: funcgraph_exit:         1.115 us   |          }
             ssh-3222  [003]  4278.011865: funcgraph_entry:                   |          __wake_up_common() {
             ssh-3222  [003]  4278.011865: funcgraph_entry:                   |            autoremove_wake_function() {
             ssh-3222  [003]  4278.011866: funcgraph_entry:                   |              default_wake_function() {
             ssh-3222  [003]  4278.011866: funcgraph_entry:                   |                try_to_wake_up() {
             ssh-3222  [003]  4278.011867: funcgraph_entry:                   |                  __lock_text_start() {
             ssh-3222  [003]  4278.011867: funcgraph_entry:        0.369 us   |                    preempt_count_add();
             ssh-3222  [003]  4278.011868: funcgraph_exit:         1.296 us   |                  }
             ssh-3222  [003]  4278.011869: funcgraph_entry:                   |                  select_task_rq_fair() {
             ssh-3222  [003]  4278.011870: funcgraph_entry:        0.393 us   |                    __rcu_read_lock();
             ssh-3222  [003]  4278.011871: funcgraph_entry:        0.404 us   |                    available_idle_cpu();
             ssh-3222  [003]  4278.011872: funcgraph_entry:        1.090 us   |                    update_cfs_rq_h_load();
             ssh-3222  [003]  4278.011873: funcgraph_entry:                   |                    select_idle_sibling() {
             ssh-3222  [003]  4278.011873: funcgraph_entry:        0.531 us   |                      available_idle_cpu();
             ssh-3222  [003]  4278.011874: funcgraph_exit:         1.260 us   |                    }
             ssh-3222  [003]  4278.011875: funcgraph_entry:        0.391 us   |                    __rcu_read_unlock();
             ssh-3222  [003]  4278.011875: funcgraph_exit:         6.225 us   |                  }
             ssh-3222  [003]  4278.011876: funcgraph_entry:                   |                  _raw_spin_lock() {
             ssh-3222  [003]  4278.011876: funcgraph_entry:        0.381 us   |                    preempt_count_add();
             ssh-3222  [003]  4278.011877: funcgraph_exit:         1.128 us   |                  }
             ssh-3222  [003]  4278.011877: funcgraph_entry:                   |                  update_rq_clock() {
             ssh-3222  [003]  4278.011878: funcgraph_entry:        0.497 us   |                    update_irq_load_avg();
             ssh-3222  [003]  4278.011879: funcgraph_exit:         1.397 us   |                  }
             ssh-3222  [003]  4278.011879: funcgraph_entry:                   |                  ttwu_do_activate() {
             ssh-3222  [003]  4278.011879: funcgraph_entry:                   |                    activate_task() {
             ssh-3222  [003]  4278.011880: funcgraph_entry:                   |                      psi_task_change() {
             ssh-3222  [003]  4278.011881: funcgraph_entry:        0.774 us   |                        record_times();
             ssh-3222  [003]  4278.011882: funcgraph_entry:        1.046 us   |                        record_times();
             ssh-3222  [003]  4278.011883: funcgraph_entry:        0.794 us   |                        record_times();
             ssh-3222  [003]  4278.011884: funcgraph_entry:        0.441 us   |                        record_times();
             ssh-3222  [003]  4278.011885: funcgraph_exit:         5.096 us   |                      }
             ssh-3222  [003]  4278.011885: funcgraph_entry:                   |                      enqueue_task_fair() {
             ssh-3222  [003]  4278.011886: funcgraph_entry:                   |                        enqueue_entity() {
             ssh-3222  [003]  4278.011886: funcgraph_entry:        0.424 us   |                          update_curr();
             ssh-3222  [003]  4278.011887: funcgraph_entry:                   |                          __update_load_avg_se() {
             ssh-3222  [003]  4278.011888: funcgraph_entry:        0.414 us   |                            __accumulate_pelt_segments();
             ssh-3222  [003]  4278.011889: funcgraph_exit:         1.438 us   |                          }
             ssh-3222  [003]  4278.011889: funcgraph_entry:                   |                          __update_load_avg_cfs_rq() {
             ssh-3222  [003]  4278.011889: funcgraph_entry:        0.411 us   |                            __accumulate_pelt_segments();
             ssh-3222  [003]  4278.011890: funcgraph_exit:         1.250 us   |                          }
             ssh-3222  [003]  4278.011891: funcgraph_entry:        0.408 us   |                          update_cfs_group();
             ssh-3222  [003]  4278.011891: funcgraph_entry:        0.514 us   |                          account_entity_enqueue();
             ssh-3222  [003]  4278.011892: funcgraph_entry:        0.405 us   |                          place_entity();
             ssh-3222  [003]  4278.011893: funcgraph_entry:        0.468 us   |                          __enqueue_entity();
             ssh-3222  [003]  4278.011894: funcgraph_exit:         8.127 us   |                        }
             ssh-3222  [003]  4278.011895: funcgraph_entry:                   |                        enqueue_entity() {
             ssh-3222  [003]  4278.011895: funcgraph_entry:        0.402 us   |                          update_curr();
             ssh-3222  [003]  4278.011896: funcgraph_entry:                   |                          __update_load_avg_se() {
             ssh-3222  [003]  4278.011896: funcgraph_entry:        0.429 us   |                            __accumulate_pelt_segments();
             ssh-3222  [003]  4278.011897: funcgraph_exit:         1.273 us   |                          }
             ssh-3222  [003]  4278.011897: funcgraph_entry:                   |                          __update_load_avg_cfs_rq() {
             ssh-3222  [003]  4278.011898: funcgraph_entry:        0.395 us   |                            __accumulate_pelt_segments();
             ssh-3222  [003]  4278.011898: funcgraph_exit:         1.151 us   |                          }
             ssh-3222  [003]  4278.011899: funcgraph_entry:                   |                          update_cfs_group() {
             ssh-3222  [003]  4278.011899: funcgraph_entry:        0.485 us   |                            reweight_entity();
             ssh-3222  [003]  4278.011900: funcgraph_exit:         1.245 us   |                          }
             ssh-3222  [003]  4278.011900: funcgraph_entry:        0.433 us   |                          account_entity_enqueue();
             ssh-3222  [003]  4278.011901: funcgraph_entry:        0.383 us   |                          place_entity();
             ssh-3222  [003]  4278.011902: funcgraph_entry:        0.380 us   |                          __enqueue_entity();
             ssh-3222  [003]  4278.011902: funcgraph_exit:         8.039 us   |                        }
             ssh-3222  [003]  4278.011903: funcgraph_entry:        0.387 us   |                        hrtick_update();
             ssh-3222  [003]  4278.011904: funcgraph_exit:       + 18.632 us  |                      }
             ssh-3222  [003]  4278.011904: funcgraph_exit:       + 25.008 us  |                    }
             ssh-3222  [003]  4278.011905: funcgraph_entry:                   |                    ttwu_do_wakeup.isra.4() {
             ssh-3222  [003]  4278.011905: funcgraph_entry:                   |                      check_preempt_curr() {
             ssh-3222  [003]  4278.011906: funcgraph_entry:        0.443 us   |                        resched_curr();
             ssh-3222  [003]  4278.011907: funcgraph_exit:         1.396 us   |                      }
             ssh-3222  [003]  4278.011908: funcgraph_exit:         3.244 us   |                    }
             ssh-3222  [003]  4278.011908: funcgraph_exit:       + 29.369 us  |                  }
             ssh-3222  [003]  4278.011909: funcgraph_entry:                   |                  _raw_spin_unlock() {
             ssh-3222  [003]  4278.011909: funcgraph_entry:        0.381 us   |                    preempt_count_sub();
             ssh-3222  [003]  4278.011910: funcgraph_exit:         1.098 us   |                  }
             ssh-3222  [003]  4278.011910: funcgraph_entry:        0.384 us   |                  ttwu_stat();
             ssh-3222  [003]  4278.011911: funcgraph_entry:                   |                  _raw_spin_unlock_irqrestore() {
             ssh-3222  [003]  4278.011911: funcgraph_entry:        0.380 us   |                    preempt_count_sub();
