CPU 3 is empty
cpus=4
             ssh-24203 [002] 76740.089956: funcgraph_entry:                   |  mutex_unlock() {
             ssh-24203 [002] 76740.089961: funcgraph_entry:                   |    smp_irq_work_interrupt() {
             ssh-24203 [002] 76740.089962: funcgraph_entry:                   |      irq_enter() {
             ssh-24203 [002] 76740.089962: funcgraph_entry:        0.670 us   |        rcu_irq_enter();
             ssh-24203 [002] 76740.089964: funcgraph_entry:        0.576 us   |        irqtime_account_irq();
             ssh-24203 [002] 76740.089965: funcgraph_entry:        0.490 us   |        preempt_count_add();
             ssh-24203 [002] 76740.089965: funcgraph_exit:         3.767 us   |      }
             ssh-24203 [002] 76740.089966: funcgraph_entry:                   |      __wake_up() {
             ssh-24203 [002] 76740.089967: funcgraph_entry:                   |        __wake_up_common_lock() {
             ssh-24203 [002] 76740.089967: funcgraph_entry:                   |          _raw_spin_lock_irqsave() {
             ssh-24203 [002] 76740.089968: funcgraph_entry:        0.397 us   |            preempt_count_add();
             ssh-24203 [002] 76740.089968: funcgraph_exit:         1.189 us   |          }
             ssh-24203 [002] 76740.089969: funcgraph_entry:        0.419 us   |          __wake_up_common();
             ssh-24203 [002] 76740.089970: funcgraph_entry:                   |          _raw_spin_unlock_irqrestore() {
             ssh-24203 [002] 76740.089970: funcgraph_entry:        0.389 us   |            preempt_count_sub();
             ssh-24203 [002] 76740.089971: funcgraph_exit:         1.194 us   |          }
             ssh-24203 [002] 76740.089971: funcgraph_exit:         4.337 us   |        }
             ssh-24203 [002] 76740.089972: funcgraph_exit:         5.199 us   |      }
             ssh-24203 [002] 76740.089972: funcgraph_entry:                   |      __wake_up() {
             ssh-24203 [002] 76740.089972: funcgraph_entry:                   |        __wake_up_common_lock() {
             ssh-24203 [002] 76740.089973: funcgraph_entry:                   |          _raw_spin_lock_irqsave() {
             ssh-24203 [002] 76740.089973: funcgraph_entry:        0.384 us   |            preempt_count_add();
             ssh-24203 [002] 76740.089974: funcgraph_exit:         1.196 us   |          }
             ssh-24203 [002] 76740.089974: funcgraph_entry:                   |          __wake_up_common() {
             ssh-24203 [002] 76740.089975: funcgraph_entry:                   |            autoremove_wake_function() {
             ssh-24203 [002] 76740.089975: funcgraph_entry:                   |              default_wake_function() {
             ssh-24203 [002] 76740.089976: funcgraph_entry:                   |                try_to_wake_up() {
             ssh-24203 [002] 76740.089976: funcgraph_entry:                   |                  _raw_spin_lock_irqsave() {
             ssh-24203 [002] 76740.089977: funcgraph_entry:        0.389 us   |                    preempt_count_add();
             ssh-24203 [002] 76740.089978: funcgraph_exit:         1.487 us   |                  }
             ssh-24203 [002] 76740.089979: funcgraph_entry:                   |                  select_task_rq_fair() {
             ssh-24203 [002] 76740.089980: funcgraph_entry:        0.391 us   |                    __rcu_read_lock();
             ssh-24203 [002] 76740.089981: funcgraph_entry:        0.464 us   |                    available_idle_cpu();
             ssh-24203 [002] 76740.089982: funcgraph_entry:        1.061 us   |                    update_cfs_rq_h_load();
             ssh-24203 [002] 76740.089984: funcgraph_entry:                   |                    select_idle_sibling() {
             ssh-24203 [002] 76740.089984: funcgraph_entry:        0.465 us   |                      available_idle_cpu();
             ssh-24203 [002] 76740.089985: funcgraph_exit:         1.312 us   |                    }
             ssh-24203 [002] 76740.089985: funcgraph_entry:        0.390 us   |                    __rcu_read_unlock();
             ssh-24203 [002] 76740.089986: funcgraph_exit:         7.056 us   |                  }
             ssh-24203 [002] 76740.089987: funcgraph_entry:                   |                  _raw_spin_lock() {
             ssh-24203 [002] 76740.089987: funcgraph_entry:        0.408 us   |                    preempt_count_add();
             ssh-24203 [002] 76740.089988: funcgraph_exit:         1.206 us   |                  }
             ssh-24203 [002] 76740.089988: funcgraph_entry:                   |                  update_rq_clock() {
             ssh-24203 [002] 76740.089989: funcgraph_entry:        0.558 us   |                    update_irq_load_avg();
             ssh-24203 [002] 76740.089990: funcgraph_exit:         1.498 us   |                  }
             ssh-24203 [002] 76740.089990: funcgraph_entry:                   |                  ttwu_do_activate() {
             ssh-24203 [002] 76740.089991: funcgraph_entry:                   |                    activate_task() {
             ssh-24203 [002] 76740.089991: funcgraph_entry:                   |                      psi_task_change() {
             ssh-24203 [002] 76740.089992: funcgraph_entry:        0.917 us   |                        record_times();
             ssh-24203 [002] 76740.089993: funcgraph_entry:        0.821 us   |                        record_times();
